id,username,user_image
1,Frederique Casper,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/0.jpg
2,Lillian Zieme,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/1.jpg
3,Ava Larson,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/2.jpg
4,Melany Larson,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/3.jpg
5,Raul Kirlin,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/4.jpg
6,Lorenz Marvin,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/5.jpg
7,Carli Turner,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/6.jpg
8,Jerad Wisoky,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/7.jpg
9,Leland Torp,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/8.jpg
10,Durward Blick,https://s3.us-east-2.amazonaws.com/fakebnb-reviews/9.jpg
